identifier,numunitid,count,min,max,mean,quantile_10,quantile_20,quantile_30,quantile_40,quantile_50,quantile_60,quantile_70,quantile_80,quantile_90
42Z..00,304,3,4.62,4.69,4.6633334,4.62,4.62,4.68,4.68,4.68,4.68,4.68,4.69,4.69
42Z..00,2165,3,16.1,17.0,16.566668,16.1,16.1,16.6,16.6,16.6,16.6,16.6,17.0,17.0
42Z..00,154,1,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0
42Z..00,828,1,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6
42Z..00,6816,1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
42a..00,134,19,87.7,95.6,90.49999,88.0,88.5,88.6,89.1,91.2,91.2,92.0,92.2,92.4
42a..00,431,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42a..00,77,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42a..00,305,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b..00,1,42722,0.0,86.7,4.259908,0.2,0.5,0.9,1.2,2.0,3.2,5.2,7.4,9.9
42b..00,11,5329,0.0,14.7,0.021429803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
42b..00,77,1427,0.0,170.9,1.4030045,0.0,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.1
42b..00,246,541,0.0,41.5,3.8702414,0.3,0.5,0.8,1.3,2.0,3.6,5.1,6.6,8.8
42b..00,1094,252,0.0,19.0,3.7314289,0.0,0.5,1.0,1.0,2.0,3.0,6.0,8.0,9.0
42b..00,358,241,0.0,0.5,0.01120332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b..00,431,240,0.0,0.8,0.025833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b..00,305,83,0.0,0.13,0.022048185,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.05,0.06
42b..00,405,59,0.1,39.0,5.38644,0.6,0.9,1.0,1.8,3.6,4.2,4.9,7.2,10.3
42b..00,403,41,0.0,2.0,0.048780486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b..00,82,36,0.0,163.6,35.91084,0.0,0.0,0.03,0.04,0.1,43.0,61.8,73.2,108.8
42b..00,1262,34,0.0,4.0,0.38235295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
42b..00,134,19,10.8,17.7,14.684211,12.6,13.3,13.7,14.0,14.9,15.5,15.9,16.0,17.2
42b..00,1828,16,0.1,45.4,12.437501,0.3,1.5,5.1,6.7,8.8,9.2,11.5,20.4,34.2
42b..00,884,11,0.0,0.7,0.24454546,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.49,0.5
42b..00,254,11,0.04,0.58,0.25454545,0.06,0.07,0.12,0.13,0.27,0.31,0.32,0.41,0.49
42b..00,321,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b..00,307,7,0.02,0.68,0.29428574,0.04,0.04,0.05,0.05,0.23,0.44,0.44,0.6,0.6
42b..00,1183,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42b..00,1243,5,0.01,0.04,0.021999998,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04
42b..00,894,4,4.0,6.02,4.735,4.0,4.12,4.12,4.12,4.8,4.8,4.8,4.8,6.02
42b..00,1245,4,0.01,0.02,0.015,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02
42b..00,421,3,0.0,0.4,0.13333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4
42b..00,79,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42d..00,1,6680,0.0,128.0,25.218565,9.0,13.0,17.0,20.0,23.0,26.0,29.3,34.0,42.0
42d..00,246,24,6.0,86.0,26.291666,10.0,16.0,17.0,17.0,22.0,25.0,31.0,35.0,45.0
42d..00,183,6,3.2,9.0,4.7833333,3.6,3.6,4.2,4.2,4.3,4.3,4.4,4.4,9.0
42d..00,235,1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1
42g..00,178,928,0.0,11.14,4.4511247,2.0,3.0,3.14,3.5,4.0,5.0,5.29,5.71,7.86
42g..00,288,65,5.0,7.14,6.03846,5.43,5.57,5.71,6.0,6.0,6.0,6.43,6.43,6.71
42g..00,264,12,0.0,49.4,6.7000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
42g..00,250,10,20.6,36.0,29.179998,20.9,24.4,26.5,29.7,31.4,31.4,31.5,35.1,35.7
42g..00,1,7,1.0,34.4,14.571428,3.9,3.9,5.7,5.7,8.6,22.8,22.8,25.6,25.6
42g..00,77,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42g..00,260,5,0.83,2.3,1.346,0.83,0.93,0.93,0.98,0.98,0.98,1.69,1.69,2.3
42g..00,129,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42g..00,155,1,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92
42g..00,1333,1,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
42g..00,263,1,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5
42h..00,77,51,4.8,12.1,7.672549,5.4,6.2,6.8,7.0,7.4,7.9,8.3,8.7,10.3
42h..00,82,32,4.2,17.2,7.6125,5.0,5.6,6.2,6.6,7.4,8.1,8.3,9.2,10.2
42h..00,262,17,-2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.5,2.0,2.0,2.0
42h..00,277,1,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
42h..00,260,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
42j..00,261,4044,0.22,94.0,31.563616,24.9,26.4,27.9,29.0,30.2,31.7,33.1,35.4,39.4
42j..00,263,493,1.19,83.0,31.290245,24.4,26.0,27.6,29.0,30.0,31.4,33.0,35.0,39.4
42j..00,264,470,19.9,115.7,32.310005,24.6,26.5,28.0,29.4,31.0,32.4,33.9,37.2,41.3
42j..00,139,432,1.36,15.8,4.264467,2.6,3.04,3.5,3.7,4.1,4.4,4.7,5.3,6.0
42j..00,350,401,14.3,90.5,29.447388,24.0,25.0,26.0,27.0,28.6,30.0,31.0,33.0,35.5
42j..00,260,331,0.8,6.2,2.2215412,1.0,1.2,1.8,1.9,2.2,2.4,2.7,3.0,3.4
42j..00,4096,75,1.2,3.7,2.5346665,1.9,2.1,2.3,2.4,2.5,2.6,2.7,3.0,3.2
42j..00,1333,54,21.3,47.1,29.353699,24.0,25.1,26.5,27.4,28.6,30.0,31.1,32.9,35.1
42j..00,182,38,6.12,626.0,348.66104,232.0,241.0,262.0,306.0,335.0,372.0,431.0,467.0,500.0
42j..00,405,23,0.9,42.0,19.663477,0.96,1.62,1.85,25.0,26.0,27.0,28.0,34.0,38.0
42j..00,1288,19,2.53,6.42,4.142105,2.68,3.57,3.62,3.82,4.05,4.58,4.64,4.73,4.96
42j..00,1,12,82.0,137.0,99.85,84.2,87.0,92.0,95.0,98.0,99.0,103.0,108.0,117.0
42j..00,2691,12,22.0,46.0,31.083334,24.0,27.0,29.0,29.0,31.0,31.0,33.0,34.0,37.0
42j..00,276,12,0.87,1090.0,91.96415,0.88,0.95,0.95,1.04,1.19,1.38,1.64,1.65,1.95
42j..00,1944,7,27.1,35.6,32.214283,30.5,30.5,32.1,32.1,32.3,33.9,33.9,34.0,34.0
42j..00,1119,7,87.4,420.0,147.62857,92.0,92.0,95.0,95.0,96.0,118.0,118.0,125.0,125.0
42j..00,867,4,22.0,36.0,27.75,22.0,25.0,25.0,25.0,28.0,28.0,28.0,28.0,36.0
42j..00,288,4,30.0,34.0,31.5,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,34.0
42j..00,1046,3,29.8,39.0,33.266666,29.8,29.8,31.0,31.0,31.0,31.0,31.0,39.0,39.0
42j..00,421,3,27.0,41.0,32.533333,27.0,27.0,29.6,29.6,29.6,29.6,29.6,41.0,41.0
42j..00,65,3,0.9,1.1,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.1
42j..00,318,2,107.0,112.0,109.5,107.0,107.0,107.0,107.0,112.0,112.0,112.0,112.0,112.0
42j..00,1013,1,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6
43...00,139,1,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01
43...00,155,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
431..00,463,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431..00,536,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431..00,760,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431..00,528,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432..00,492,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432..00,570,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434..00,14106,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438..00,274,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43A..00,77,14,0.02,0.14,0.052857142,0.03,0.03,0.04,0.05,0.05,0.05,0.06,0.06,0.07
43A..00,762,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43A..00,714,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
43A..00,530,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43A..00,152,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43B..00,410,5,0.0,24.0,8.8,0.0,0.0,0.0,1.0,1.0,1.0,19.0,19.0,24.0
43B..00,3022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43B..00,411,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43B..00,288,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
43B..00,155,1,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
43E..00,155,6,200.0,400.0,233.33333,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,400.0
43E..00,277,3,200.0,800.0,400.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,800.0,800.0
43E..00,429,3,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
43E..00,288,1,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3
43E..00,154,1,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
43E..00,334,1,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
43E..00,3006,1,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
43F..00,155,4734,0.0,4610.0,31.43342,6.0,9.0,10.0,10.0,11.0,14.0,20.0,20.0,34.0
43F..00,159,451,0.0,465.0,19.619041,7.0,8.0,10.0,10.0,10.0,13.0,15.0,18.0,22.0
43F..00,371,229,4.0,573.0,25.572052,9.0,10.0,10.0,10.0,10.0,10.0,13.0,20.0,31.0
43F..00,277,171,0.0,362.0,27.825943,1.24,4.0,6.2,10.2,20.0,20.0,20.0,22.0,45.0
43F..00,288,51,0.0,4070.0,127.483376,5.0,6.7,9.5,10.0,11.0,20.0,24.1,35.194,98.7
43F..00,154,43,5.0,90.0,13.772094,5.0,5.0,5.0,6.0,7.2,8.0,11.0,15.0,19.0
43F..00,153,35,0.0,326.0,31.77143,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,28.0
43F..00,276,35,4.0,149.0,28.4,9.0,9.0,9.0,9.0,12.0,20.0,33.0,43.0,61.0
43F..00,405,25,0.0,226.0,23.6,3.0,5.0,10.0,11.0,13.0,14.0,19.0,27.0,40.0
43F..00,1786,11,10.0,62.0,29.272728,11.0,11.0,11.0,11.0,27.0,31.0,46.0,47.0,55.0
43F..00,50,9,0.0,47.0,12.577778,2.6,2.6,2.6,10.0,10.0,10.0,11.0,11.0,20.0
43F..00,3779,5,-30.0,114.0,55.82,-30.0,30.0,30.0,80.1,80.1,80.1,85.0,85.0,114.0
43F..00,3675,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43F..00,705,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43F..00,950,4,20.0,73.0,37.5,20.0,22.0,22.0,22.0,35.0,35.0,35.0,35.0,73.0
43F..00,698,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43F..00,3676,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43F..00,274,2,80.0,160.0,120.0,80.0,80.0,80.0,80.0,160.0,160.0,160.0,160.0,160.0
43F..00,1155,2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
43F..00,1459,2,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
43F..00,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43F..00,5681,1,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
43F..00,426,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
43F..00,49,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
43G..00,155,1595,0.0,910000.0,757.5808,1.0,3.5,6.0,10.0,14.0,25.0,35.0,98.0,364.6
43G..00,277,387,0.0,98908.0,340.4774,0.3,0.6,1.0,1.02,2.0,3.0,10.0,28.0,112.0
43G..00,159,150,0.0,1300.0,73.972664,1.0,1.0,2.0,5.0,11.0,15.0,26.7,33.7,194.3
43G..00,371,116,0.0,1000.0,86.69138,1.0,5.0,8.0,10.0,11.0,17.0,54.0,139.0,255.0
43G..00,937,86,0.2,8.0,0.3569771,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43G..00,288,47,0.0,1300.0,73.728516,0.1,0.2,0.3,0.3,0.5,0.9,1.23,20.0,50.3
43G..00,1302,22,0.2,3000.0,270.10452,1.5,2.0,2.0,50.0,50.2,78.0,214.0,347.0,405.0
43G..00,154,20,0.0,814.0,48.6605,0.3,0.6,1.5,1.5,4.01,4.8,7.1,8.0,15.0
43G..00,274,19,40.0,640.0,120.0,40.0,40.0,80.0,80.0,80.0,80.0,80.0,80.0,160.0
43G..00,139,13,1.2,43.0,11.71923,1.28,1.4,2.73,4.8,7.18,12.81,15.2,20.32,24.4
43G..00,235,13,0.07,91.0,7.249999,0.2,0.2,0.2,0.24,0.26,0.27,0.3,0.5,0.5
43G..00,143,11,0.5,12.0,5.8363633,1.1,1.9,2.0,3.0,6.0,8.7,9.0,10.0,10.0
43G..00,276,10,0.1,30.0,4.0010004,0.31,0.4,0.4,0.4,0.5,0.5,1.0,1.9,5.0
43G..00,5904,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43G..00,142,8,0.5,10.0,4.65,1.3,1.3,3.0,4.3,4.4,4.4,6.4,7.3,7.3
43G..00,2133,7,8.0,233.0,155.14285,132.0,132.0,132.0,132.0,174.0,174.0,174.0,233.0,233.0
43G..00,1149,6,1.0,406.0,68.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,406.0
43G..00,884,5,174.0,313.0,245.6,174.0,215.0,215.0,218.0,218.0,218.0,308.0,308.0,313.0
43G..00,1321,5,0.8,3.8,1.9800001,0.8,1.1,1.1,2.0,2.0,2.0,2.2,2.2,3.8
43G..00,1372,4,0.7,5.0,2.825,0.7,1.6,1.6,1.6,4.0,4.0,4.0,4.0,5.0
43G..00,64,4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43G..00,227,4,2.0,10.0,4.25,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,10.0
43G..00,882,4,0.92,5.0,3.125,0.92,1.58,1.58,1.58,5.0,5.0,5.0,5.0,5.0
43G..00,1363,3,0.2,1.0,0.59999996,0.2,0.2,0.6,0.6,0.6,0.6,0.6,1.0,1.0
43G..00,2152,3,2.0,20.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,20.0,20.0
43G..00,1375,3,0.2,556.0,185.46667,0.2,0.2,0.2,0.2,0.2,0.2,0.2,556.0,556.0
43G..00,50,3,7.0,100.6,41.866665,7.0,7.0,18.0,18.0,18.0,18.0,18.0,100.6,100.6
43G..00,2204,3,10.0,72.0,30.666666,10.0,10.0,10.0,10.0,10.0,10.0,10.0,72.0,72.0
43G..00,405,3,0.29,3.8,1.4666667,0.29,0.29,0.31,0.31,0.31,0.31,0.31,3.8,3.8
43G..00,260,3,0.9,1.0,0.93333334,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0
43G..00,410,2,120.1,445.1,282.6,120.1,120.1,120.1,120.1,445.1,445.1,445.1,445.1,445.1
43G..00,858,2,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0
43G..00,1165,2,1.0,4.6,2.8,1.0,1.0,1.0,1.0,4.6,4.6,4.6,4.6,4.6
43G..00,1600,2,3.0,44.0,23.5,3.0,3.0,3.0,3.0,44.0,44.0,44.0,44.0,44.0
43G..00,1152,2,0.2,1.1,0.65000004,0.2,0.2,0.2,0.2,1.1,1.1,1.1,1.1,1.1
43G..00,6250,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
43G..00,531,2,5.0,7.5,6.25,5.0,5.0,5.0,5.0,7.5,7.5,7.5,7.5,7.5
43G..00,715,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43G..00,1199,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
43G..00,1285,1,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
43G..00,601,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43G..00,44,1,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
43G..00,1702,1,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0,25600.0
43G..00,9302,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43G..00,9279,1,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
43G..00,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43G..00,4406,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
43G..00,15571,1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
43G..00,199,1,475400000.0,475400000.0,475400000.0,475400000.0,475400000.0,475400000.0,475400000.0,475400000.0,475400000.0,475400000.0,475400000.0,475400000.0
43G..00,6312,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
43G..00,307,1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1
43G..00,229,1,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2
43G..00,2356,1,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
43G..00,1190,1,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
43G..00,2350,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
43G..00,6111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43G..00,1759,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
43G..00,183,1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
43G..00,6247,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
43G..00,2534,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43G..00,883,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
43G..00,1577,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43G..00,953,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
43I..00,139,349,0.0,2.38,0.7461432,0.2,0.24,0.27,0.31,0.4,1.01,1.16,1.32,1.52
43I..00,182,26,17.8,170.0,80.888466,21.8,26.9,30.9,36.0,96.0,102.0,127.0,132.9,143.0
43I..00,162,17,0.392,0.459,0.4187059,0.398,0.4,0.41,0.411,0.417,0.419,0.419,0.444,0.448
43I..00,183,15,190.0,1870.0,733.6,200.0,230.0,240.0,290.0,374.0,400.0,1190.0,1380.0,1570.0
43I..00,1190,1,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
43J..00,139,9880,0.0,640.0,5.1392655,0.6,0.98,1.44,2.0,2.66,3.58,6.0,9.63,12.8
43J..00,159,328,0.09,5000.0,344.80716,7.4,18.0,30.0,52.6,86.2,142.0,214.0,343.0,679.0
43J..00,155,77,1.0,6307.0,283.6135,7.54,10.0,17.0,28.0,59.8,99.0,137.0,257.0,436.4
43J..00,277,23,1.0,930.0,186.78261,5.0,18.0,52.0,91.0,120.0,140.0,160.0,285.0,327.0
43J..00,371,14,4.5,1164.0,283.08572,10.0,18.0,18.5,34.0,73.0,95.0,168.0,265.0,1164.0
43J..00,183,12,1.29,2340.0,530.3575,3.8,10.0,12.2,16.0,30.0,238.0,766.0,929.0,2000.0
43J..00,182,10,4.0,3658.0,683.66003,20.0,34.0,57.6,120.0,149.0,149.0,215.0,348.0,2231.0
43J..00,288,10,1.1,659.0,69.999,1.1,1.16,1.25,1.97,5.21,5.21,7.0,10.0,12.2
43J..00,1190,7,1.79,4.84,2.9628575,1.86,1.86,1.91,1.91,2.08,3.78,3.78,4.48,4.48
43J..00,405,4,1.04,2.92,1.5875001,1.04,1.09,1.09,1.09,1.3,1.3,1.3,1.3,2.92
43J..00,1,3,2.1,9.3,4.6666665,2.1,2.1,2.6,2.6,2.6,2.6,2.6,9.3,9.3
43J..00,154,2,30.9,162.0,96.45,30.9,30.9,30.9,30.9,162.0,162.0,162.0,162.0,162.0
43J..00,185,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43J..00,3861,1,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
43J..00,276,1,210.3,210.3,210.3,210.3,210.3,210.3,210.3,210.3,210.3,210.3,210.3,210.3
43J..00,153,1,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
43J..00,370,1,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6
43J..00,16507,1,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7
43J..00,832,1,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
43J..00,953,1,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
43K..00,139,1,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
43L..00,579,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43L..00,1375,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43N..00,937,82,0.2,2.8,0.25487813,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43N..00,277,10,0.2,1.0,0.36000004,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1.0
43N..00,159,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43N..00,1375,2,0.2,0.6,0.4,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0.6,0.6
43N..00,155,2,0.0,1.3,0.65,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3
43N..00,2534,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43N..00,260,1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
43N..00,531,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43N..00,1152,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
43O..00,155,4,1.0,5.0,2.025,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,5.0
43Q..00,370,80,0.0,100.0,3.5638766,0.0,0.02,0.08,0.35,0.35,0.35,0.36,0.65,4.02
43Q..00,159,26,0.1,100.0,13.00077,0.1,0.1,0.1,0.1,0.35,0.4,1.11,4.24,100.0
43Q..00,865,24,0.0,4.29,0.52000004,0.0,0.1,0.1,0.14,0.35,0.4,0.4,0.4,1.12
43Q..00,1198,7,0.0,3.0,0.85714287,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0
43Q..00,144,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43S..00,760,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43V..00,77,594,0.063,2.0,0.686197,0.42,0.5,0.56,0.62,0.66,0.72,0.78,0.85,0.95
43V..00,391,38,1.0,1008.0,131.52632,3.0,4.0,6.0,10.0,11.0,16.0,38.0,225.0,461.0
43V..00,1238,25,5.0,776.0,403.964,162.0,239.0,259.0,321.0,445.0,485.0,562.0,580.0,662.0
43V..00,1,21,0.0,77.0,28.633333,1.0,4.0,11.4,19.0,20.0,27.0,31.0,59.0,64.0
43V..00,75,7,403.0,1847.0,772.1429,438.0,438.0,471.0,471.0,682.0,734.0,734.0,830.0,830.0
